n,mse,coef_rmse,coef_max_abs_error
100,4.350065985462308e-03,3.032471128063192e-02,1.167589399549119e-01
200,1.109317066168761e-03,3.020298660848869e-02,1.151312587821480e-01
300,2.461267298064209e-04,3.017591271818329e-02,1.143645668670230e-01
400,5.460870383471333e-05,3.016990247858696e-02,1.140034295002253e-01
500,1.211615876444148e-05,3.016856881059580e-02,1.138333218009988e-01
600,2.688240022130636e-06,3.016827289861829e-02,1.137531954225164e-01
700,5.964459988584295e-07,3.016820724355355e-02,1.137154532359023e-01
800,1.323348460798376e-07,3.016819267649392e-02,1.136976754119523e-01
900,2.936143677799544e-08,3.016818944446593e-02,1.136893014661704e-01
1000,6.514489533235014e-09,3.016818872736839e-02,1.136853570594670e-01
1100,1.445384781386272e-09,3.016818856826431e-02,1.136834991128495e-01
1200,3.206908470120130e-10,3.016818853296353e-02,1.136826239582589e-01
1300,7.115241607753127e-11,3.016818852513126e-02,1.136822117313680e-01
1400,1.578675026362703e-11,3.016818852339349e-02,1.136820175588054e-01
1500,3.502642603412763e-12,3.016818852300794e-02,1.136819260970767e-01
1600,7.771393733453019e-13,3.016818852292239e-02,1.136818830155635e-01
1700,1.724257008209594e-13,3.016818852290340e-02,1.136818627227393e-01
1800,3.825648695537798e-14,3.016818852289920e-02,1.136818531641448e-01
1900,8.488054783618168e-15,3.016818852289826e-02,1.136818486617293e-01
2000,1.883264247049970e-15,3.016818852289806e-02,1.136818465409419e-01
2100,4.178441738821118e-16,3.016818852289801e-02,1.136818455419806e-01
2200,9.270804895359208e-17,3.016818852289800e-02,1.136818450714366e-01
2300,2.056934793720368e-17,3.016818852289799e-02,1.136818448497948e-01
2400,4.563768611556119e-18,3.016818852289800e-02,1.136818447453941e-01
2500,1.012573908574474e-18,3.016818852289800e-02,1.136818446962179e-01
2600,2.246621167518478e-19,3.016818852289800e-02,1.136818446730543e-01
2700,4.984629543015051e-20,3.016818852289800e-02,1.136818446621435e-01
2800,1.105951455216605e-20,3.016818852289800e-02,1.136818446570041e-01
2900,2.453799983538771e-21,3.016818852289800e-02,1.136818446545833e-01
3000,5.444311027579759e-22,3.016818852289800e-02,1.136818446534430e-01
3100,1.207947140004000e-22,3.016818852289800e-02,1.136818446529059e-01
3200,2.680119993688850e-23,3.016818852289800e-02,1.136818446526529e-01
3300,5.946555182523352e-24,3.016818852289800e-02,1.136818446525337e-01
3400,1.319350245277208e-24,3.016818852289799e-02,1.136818446524776e-01
3500,2.927283575440441e-25,3.016818852289800e-02,1.136818446524512e-01
3600,6.493670192330710e-26,3.016818852289800e-02,1.136818446524387e-01
3700,1.440076212458692e-26,3.016818852289800e-02,1.136818446524328e-01
3800,3.196866098423340e-27,3.016818852289800e-02,1.136818446524301e-01
3900,7.101846100996126e-28,3.016818852289799e-02,1.136818446524288e-01
4000,1.578229196685872e-28,3.016818852289800e-02,1.136818446524282e-01
4100,3.514441969935684e-29,3.016818852289799e-02,1.136818446524279e-01
4200,8.013293756809748e-30,3.016818852289800e-02,1.136818446524278e-01
4300,1.852604013614581e-30,3.016818852289800e-02,1.136818446524277e-01
4400,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
4500,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
4600,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
4700,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
4800,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
4900,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
5000,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
5100,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
5200,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
5300,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
5400,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
5500,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
5600,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
5700,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
5800,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
5900,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
6000,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
6100,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
6200,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
6300,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
6400,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
6500,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
6600,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
6700,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
6800,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
6900,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
7000,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
7100,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
7200,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
7300,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
7400,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
7500,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
7600,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
7700,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
7800,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
7900,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
8000,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
8100,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
8200,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
8300,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
8400,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
8500,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
8600,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
8700,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
8800,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
8900,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
9000,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
9100,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
9200,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
9300,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
9400,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
9500,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
9600,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
9700,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
9800,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
9900,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
10000,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
10100,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
10200,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
10300,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
10400,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
10500,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
10600,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
10700,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
10800,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
10900,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
11000,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
11100,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
11200,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
11300,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
11400,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
11500,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
11600,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
11700,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
11800,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
11900,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
12000,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
12100,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
12200,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
12300,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
12400,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
12500,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
12600,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
12700,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
12800,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
12900,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
13000,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
13100,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
13200,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
13300,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
13400,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
13500,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
13600,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
13700,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
13800,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
13900,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
14000,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
14100,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
14200,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
14300,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
14400,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
14500,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
14600,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
14700,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
14800,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
14900,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
15000,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
15100,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
15200,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
15300,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
15400,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
15500,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
15600,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
15700,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
15800,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
15900,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
16000,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
16100,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
16200,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
16300,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
16400,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
16500,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
16600,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
16700,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
16800,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
16900,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
17000,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
17100,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
17200,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
17300,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
17400,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
17500,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
17600,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
17700,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
17800,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
17900,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
18000,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
18100,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
18200,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
18300,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
18400,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
18500,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
18600,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
18700,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
18800,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
18900,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
19000,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
19100,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
19200,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
19300,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
19400,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
19500,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
19600,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
19700,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
19800,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
19900,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
20000,7.403274706224535e-31,3.016818852289800e-02,1.136818446524277e-01
