n,mse,coef_rmse,coef_max_abs_error
100,3.967936021176902e-03,1.533311872061905e-02,4.763525212300926e-02
200,1.301070746856446e-03,4.580878608427969e-03,1.209534634938840e-02
300,1.103208580138979e-04,1.584862582604324e-03,5.273757446672009e-03
400,1.398176982984454e-05,4.145579698130942e-04,1.153370160710265e-03
500,9.096396376221687e-07,1.367417842848177e-04,3.601951893606042e-04
600,1.011447323184307e-07,3.895437377934933e-05,9.079859259719658e-05
700,8.342751379253785e-09,1.071831605566046e-05,2.402997206811443e-05
800,4.364919222446290e-10,6.225109450085032e-06,1.322882671694284e-05
900,1.913202026954969e-10,2.498352747559753e-06,6.504109085019721e-06
1000,2.966669448864241e-11,1.098358058750920e-06,2.576648622665788e-06
1100,6.420635002013762e-12,3.494299486121310e-07,9.658513489326642e-07
1200,5.621873437455167e-13,1.660113189633271e-07,3.990485711547961e-07
1300,1.425202502631877e-13,5.851897492853970e-08,1.350531779326092e-07
1400,1.604362054574588e-14,2.590458798997808e-08,5.650468232545891e-08
1500,2.965475667261574e-15,1.317675811303240e-08,2.691619524486377e-08
1600,9.245903181893578e-16,4.335276171776623e-09,9.810023585132832e-09
1700,9.800205029209269e-17,1.569758401551978e-09,3.370737529373447e-09
1800,1.292038506611261e-17,5.508889972180115e-10,1.207516829582200e-09
1900,1.640692857402599e-18,1.671062383729613e-10,3.352693378998184e-10
2000,1.447276244803091e-19,5.950195753967414e-11,1.109812901300966e-10
2100,1.704889182230914e-20,2.582994179864334e-11,4.742996186773984e-11
2200,3.438327252390492e-21,8.580178604466815e-12,1.788502679289650e-11
2300,4.164412199680895e-22,2.120688694468459e-12,3.934079190887063e-12
2400,2.295912026151282e-23,7.793326261616192e-13,1.646988101455804e-12
2500,3.072559705385937e-24,2.955763991177840e-13,8.150563557407509e-13
2600,3.844605679483834e-25,1.431009713375615e-13,3.621963839961495e-13
2700,8.632187811325369e-26,7.410066403066515e-14,1.973560204149294e-13
2800,2.742010331216806e-26,2.839852266202898e-14,7.054079542712088e-14
2900,3.541362229068030e-27,1.385863533440654e-14,3.166911177743259e-14
3000,1.001814382334436e-27,4.894819441932833e-15,1.074140776324839e-14
3100,1.182211567547570e-28,1.928262707527560e-15,3.844147222764605e-15
3200,1.687922855977576e-29,9.162255662021168e-16,1.574695235317947e-15
3300,4.429498668998629e-30,2.944404705935294e-16,5.494736610156536e-16
3400,4.060878399617631e-31,1.335315767006928e-16,2.701831813833877e-16
3500,9.096845904798853e-32,4.911268301742222e-17,1.040834085586084e-16
3600,1.122216715063359e-32,3.423574592185288e-17,8.326672684688674e-17
3700,7.952564437841536e-33,2.218973885595880e-17,8.326672684688674e-17
3800,5.984009158115163e-33,1.993944775581481e-17,8.326672684688674e-17
3900,4.710901403752287e-33,1.945138973479517e-17,8.326672684688674e-17
4000,4.452540712613606e-33,1.940269832819933e-17,8.326672684688674e-17
4100,4.257729530947522e-33,1.971732765587115e-17,8.326672684688674e-17
4200,4.666553175730510e-33,1.885055489686004e-17,8.326672684688674e-17
4300,4.542817348978773e-33,1.943132085787464e-17,8.326672684688674e-17
4400,5.584386638425230e-33,1.886553579601781e-17,8.326672684688674e-17
4500,5.253693443408324e-33,1.852509143150918e-17,8.326672684688674e-17
4600,2.956832024839453e-33,1.849950966843715e-17,8.326672684688674e-17
4700,2.753967090565503e-33,1.928952031873384e-17,8.326672684688674e-17
4800,4.320112773699951e-33,1.866052839911052e-17,8.326672684688674e-17
4900,4.323772087614061e-33,1.898709344769225e-17,8.326672684688674e-17
