n,mse,coef_rmse,coef_max_abs_error
100,6.952740044609568e-03,2.847894851984240e-02,1.094147890570083e-01
200,9.880659618897272e-03,2.484171407454793e-02,9.536057662072460e-02
300,6.263153014900179e-03,2.222462474094926e-02,8.547089221603513e-02
400,6.395559371727505e-03,1.918752762751785e-02,7.566551786042387e-02
500,3.755576290214284e-03,1.715365559325204e-02,6.806727704935955e-02
600,3.389137904593965e-03,1.508194872643187e-02,6.038911102279364e-02
700,2.664491190890400e-03,1.323048584967334e-02,5.312203395931855e-02
800,1.299605838042269e-03,1.222277364907829e-02,4.884957753652538e-02
900,1.224813842176420e-03,1.119289673739441e-02,4.442451907034228e-02
1000,1.352133445468455e-03,9.933847672254404e-03,3.967921330210761e-02
1100,8.626508779332158e-04,9.038246500010500e-03,3.599765088815678e-02
1200,7.765630057514976e-04,8.149099426510263e-03,3.238442986341337e-02
1300,6.991305254670424e-04,7.254695491311447e-03,2.918965638628170e-02
1400,5.273827605073359e-04,6.499644978818006e-03,2.611555956633761e-02
1500,3.232916630732066e-04,5.990416911105276e-03,2.385915322796256e-02
1600,3.795408116801300e-04,5.331198920210133e-03,2.120291887968280e-02
1700,3.120026863532763e-04,4.720261041203050e-03,1.866985560538323e-02
1800,2.217248891845839e-04,4.232887479900260e-03,1.669432874341159e-02
1900,2.256241166741691e-04,3.671833534340340e-03,1.457627997203850e-02
2000,1.130492996642740e-04,3.355043732314916e-03,1.319043805561730e-02
2100,1.127181931004764e-04,3.006138234384022e-03,1.183299556415134e-02
2200,9.676798360497860e-05,2.670166837203940e-03,1.060239406131488e-02
2300,6.225372743947440e-05,2.430333703381690e-03,9.614974456267911e-03
2400,6.190765331278720e-05,2.165053347671505e-03,8.560434152635618e-03
2500,4.118360223013063e-05,1.968840947058261e-03,7.711328989579241e-03
2600,3.842999560896973e-05,1.765805342938764e-03,6.941370949583747e-03
2700,2.389419246760463e-05,1.626956002951085e-03,6.411093266119314e-03
2800,2.420217856176924e-05,1.473196296758846e-03,5.764965129170796e-03
2900,1.704188194722286e-05,1.354259542252107e-03,5.260837415090272e-03
3000,1.571330088224393e-05,1.234757671123135e-03,4.793645247782904e-03
3100,1.558543979373281e-05,1.103492243114121e-03,4.298155420556102e-03
3200,1.082826235400681e-05,1.002093138706404e-03,3.891093178308255e-03
3300,9.551359579389038e-06,9.034409484812174e-04,3.521079040467542e-03
3400,8.159455144988028e-06,8.096196903219537e-04,3.167887314577081e-03
3500,5.872356595895849e-06,7.347458988685798e-04,2.837172197350177e-03
3600,4.049904961739356e-06,6.781898398530947e-04,2.619175002842283e-03
3700,3.189786479818192e-06,6.299764636654523e-04,2.423146158633677e-03
3800,3.938985330842037e-06,5.650721155025984e-04,2.190404379749378e-03
3900,3.054993218202723e-06,5.090210256428486e-04,1.987502620117015e-03
4000,2.185299085415576e-06,4.647962400761819e-04,1.814422355387008e-03
4100,2.114366647259208e-06,4.176185121625756e-04,1.638079118963104e-03
4200,1.636246218732914e-06,3.771708894742036e-04,1.471310371609802e-03
4300,1.286321894929985e-06,3.419586345595706e-04,1.330930752779083e-03
4400,1.420202602312973e-06,2.983566267915620e-04,1.157910292121034e-03
