n,mse,coef_rmse,coef_max_abs_error
100,5.862635859250438e-03,2.392057053048557e-02,8.820180321250343e-02
200,5.333646847325144e-03,1.543608914433402e-02,5.570774481173449e-02
300,1.947546783967631e-03,1.074670328302644e-02,3.858993293786224e-02
400,1.145040739802761e-03,6.588332818077748e-03,2.537287226859411e-02
500,3.523284378344741e-04,4.599738767449023e-03,1.781910115274561e-02
600,1.975085923921987e-04,2.940036824262460e-03,1.168567818457783e-02
700,8.052085005947976e-05,1.888587695650252e-03,7.524313404103866e-03
800,2.256469883132931e-05,1.458655383821059e-03,5.673218010804934e-03
900,1.517672010926870e-05,1.080468061823587e-03,4.138741795945242e-03
1000,1.011270627603705e-05,7.274116118372063e-04,2.817190212823117e-03
1100,3.730395098232363e-06,5.411939317336025e-04,2.058354404157178e-03
1200,2.211648875752571e-06,3.915295845139032e-04,1.478535168487297e-03
1300,1.224308075637481e-06,2.753081475138577e-04,1.055771366226685e-03
1400,5.418849842933573e-07,2.036791157580351e-04,7.335503411106947e-04
1500,3.140447578615293e-07,1.472834130640060e-04,5.103976075667843e-04
1600,1.904191679360205e-07,9.851239678206519e-05,3.288086182328259e-04
1700,7.894937250567764e-08,6.875061919358261e-05,2.164511936813551e-04
1800,4.159518481085275e-08,4.588469845301097e-05,1.481502382753436e-04
1900,1.982310334881020e-08,2.927724759980003e-05,8.998032554419222e-05
2000,6.594130088363409e-09,2.098189593262155e-05,6.155912337002523e-05
2100,3.534585204619495e-09,1.473712847918341e-05,4.277355818622930e-05
2200,1.802922296136551e-09,1.013587036322179e-05,2.898390837842435e-05
2300,6.534648167072767e-10,7.854513615203043e-06,2.233088818787143e-05
2400,4.997384897256024e-10,5.482563931179986e-06,1.472370084183716e-05
2500,2.741110597230204e-10,3.568678367202955e-06,9.481928295612674e-06
2600,9.598105063919537e-11,2.574881232401082e-06,6.399568476894713e-06
2700,4.543639394988165e-11,1.934540110033251e-06,4.741891777709784e-06
2800,2.602974446492816e-11,1.446153444218149e-06,3.713223844598046e-06
2900,1.603588328259125e-11,1.034164869162008e-06,2.563077633771504e-06
3000,7.980278011673861e-12,7.520437441557265e-07,1.924826604535190e-06
3100,3.939569068269241e-12,5.622144513007800e-07,1.340653543388526e-06
3200,2.518169765889289e-12,3.952558492788616e-07,9.363244584115193e-07
3300,1.177728336037847e-12,2.861004875545226e-07,7.138831303599158e-07
3400,6.265719218140390e-13,2.052384815374739e-07,5.112539184712328e-07
3500,3.297912805900931e-13,1.456440195162292e-07,3.545719023875793e-07
3600,1.183534819838195e-13,1.169348891258389e-07,2.922161453852712e-07
3700,7.093716597419176e-14,9.553541940391434e-08,2.351576727094296e-07
3800,8.336134237625759e-14,6.209090774622369e-08,1.635045852321770e-07
3900,2.735174596333804e-14,4.606928859466458e-08,1.292791160234508e-07
4000,1.597415472354756e-14,3.330765593912570e-08,9.695634227424588e-08
4100,8.207839967348304e-15,2.429719251109226e-08,7.223595704236585e-08
4200,4.918048489281019e-15,1.678396408189255e-08,4.938208389426713e-08
4300,2.260454280912186e-15,1.176542648906272e-08,3.623059734170209e-08
4400,1.122146069314726e-15,8.235332205516291e-09,2.443032463828043e-08
4500,5.917748922700601e-16,5.525098850719064e-09,1.625337056609943e-08
4600,1.798245551054617e-16,4.368655928239678e-09,1.283993737027922e-08
4700,1.823773365246891e-16,2.732732987560929e-09,8.918746977060188e-09
4800,6.334961794611684e-17,1.861968514358743e-09,5.868178422352432e-09
