n,mse,coef_rmse,coef_max_abs_error
100,7.328008900825435e-03,2.999724045538572e-02,1.163629126267379e-01
200,1.194227864766602e-02,2.864812699664673e-02,1.111599343875567e-01
300,8.968573704294469e-03,2.759093001255022e-02,1.071967737477007e-01
400,1.067437299864888e-02,2.627723941431566e-02,1.029791345549019e-01
500,7.540655228424432e-03,2.530790876963738e-02,9.941103842056942e-02
600,7.764797503420732e-03,2.426888942854891e-02,9.559645396772960e-02
700,7.355625528023764e-03,2.324239483978147e-02,9.161752904412807e-02
800,4.174276169344167e-03,2.263853218656989e-02,8.909598404432373e-02
900,4.379658798285967e-03,2.198767511487079e-02,8.631660738008431e-02
1000,5.498633108551358e-03,2.114240617934002e-02,8.315308265930083e-02
1100,4.260063743800850e-03,2.046325980232951e-02,8.047410301084212e-02
1200,4.240291223978811e-03,1.976430080392039e-02,7.766198824838684e-02
1300,4.467491687814182e-03,1.899970258581848e-02,7.503000462460310e-02
1400,3.983022507946316e-03,1.829133109508353e-02,7.227531088764871e-02
1500,2.532696763321551e-03,1.782638570042450e-02,7.021253199071616e-02
1600,3.563786152632607e-03,1.715095604135661e-02,6.754247507303074e-02
1700,3.642334250642549e-03,1.643169396092040e-02,6.468826425167652e-02
1800,2.858778119726773e-03,1.584432367885560e-02,6.230326327827464e-02
1900,3.457182521924421e-03,1.510390378293955e-02,5.959672524985281e-02
2000,1.863283137188314e-03,1.468911289728429e-02,5.772423682320383e-02
2100,2.341548478146611e-03,1.415061131325255e-02,5.566942620128233e-02
2200,2.277531785609444e-03,1.360626505234330e-02,5.370067884920184e-02
2300,1.722970000456511e-03,1.317993964017672e-02,5.192595032518764e-02
2400,1.846048255438407e-03,1.270696670687262e-02,5.001596457574534e-02
2500,1.415018483179014e-03,1.233211042763402e-02,4.835917720537861e-02
2600,1.585864421113526e-03,1.189771593960207e-02,4.674695956851090e-02
2700,1.092799296868170e-03,1.158899265910846e-02,4.553517989113937e-02
2800,1.323846553766652e-03,1.120375916076173e-02,4.395713068014855e-02
2900,9.776502789160119e-04,1.091034394118069e-02,4.267526654381633e-02
3000,1.066701327474312e-03,1.058115618072097e-02,4.139784185162934e-02
3100,1.286772751529496e-03,1.016987511616644e-02,3.990385573619915e-02
3200,9.562699099091402e-04,9.852981110392034e-03,3.862307237094707e-02
3300,9.967373715472237e-04,9.511661898724407e-03,3.736683540695745e-02
3400,9.955357420768430e-04,9.157984597632772e-03,3.606438979620376e-02
3500,7.787405765961680e-04,8.871531323753755e-03,3.479795047627522e-02
3600,6.442571849282718e-04,8.627177612970554e-03,3.386553603046785e-02
3700,5.785676252753251e-04,8.401532478783962e-03,3.296017194902730e-02
3800,7.151636401746308e-04,8.114336050289800e-03,3.189323704112769e-02
3900,6.790717034716230e-04,7.831815755424907e-03,3.090108909429827e-02
4000,5.522409165377038e-04,7.594327330485705e-03,2.998524252758922e-02
4100,6.110289185432319e-04,7.322662768488142e-03,2.899709224329447e-02
4200,5.143819171435502e-04,7.086069750018006e-03,2.798685652087196e-02
4300,4.784929730979724e-04,6.858521280845854e-03,2.707742550308515e-02
4400,6.128040745085226e-04,6.555703658178475e-03,2.588009939344829e-02
4500,4.341606145005643e-04,6.332331486686975e-03,2.495232642011126e-02
4600,3.572395255565948e-04,6.142296512039193e-03,2.426174895947827e-02
4700,3.208876018960342e-04,5.966390211998358e-03,2.359272793025291e-02
4800,3.158748683571530e-04,5.788189029001452e-03,2.281408580353056e-02
4900,3.858103702101118e-04,5.562766576411196e-03,2.193125461298517e-02
5000,3.255663099051420e-04,5.365094410222255e-03,2.121442511661996e-02
5100,2.460676329685156e-04,5.210736945526453e-03,2.060728802837600e-02
5200,2.689611623118049e-04,5.036691406465495e-03,1.995088933918683e-02
5300,2.759678681700092e-04,4.851592397514168e-03,1.921565242801848e-02
5400,2.335510107887102e-04,4.689162192540289e-03,1.860761046856992e-02
5500,2.257583373608311e-04,4.526697128059175e-03,1.794528642352498e-02
5600,2.184539031079799e-04,4.363845890452336e-03,1.729296882031939e-02
5700,1.767599074048068e-04,4.227430660101694e-03,1.672062636748779e-02
5800,2.708300954536456e-04,4.009730092133231e-03,1.590686638565471e-02
5900,1.255020280515141e-04,3.904518279203843e-03,1.548095377043840e-02
6000,1.512353183092179e-04,3.773854072325483e-03,1.496496545737902e-02
6100,1.474381807246991e-04,3.642007427820947e-03,1.442648769929740e-02
6200,1.521268763397931e-04,3.500857232455562e-03,1.385819768751650e-02
6300,1.423577838219879e-04,3.363319407388484e-03,1.334198886750793e-02
6400,1.401814617096425e-04,3.222208405702244e-03,1.283264426291605e-02
6500,9.111327433997375e-05,3.126991990396258e-03,1.244341381640622e-02
6600,1.064599427311078e-04,3.012021060317438e-03,1.204835779205880e-02
6700,1.071236049046514e-04,2.891661395552572e-03,1.158434684504238e-02
6800,7.734199582530200e-05,2.801534651098757e-03,1.120542275296821e-02
6900,7.354481263041490e-05,2.713111103164213e-03,1.081515460455773e-02
7000,5.379328990934855e-05,2.646533992422474e-03,1.051000879688821e-02
7100,6.835318377867042e-05,2.559402129343723e-03,1.014020739746203e-02
7200,6.128306033724474e-05,2.478726040586486e-03,9.811037064913597e-03
7300,5.381581871258433e-05,2.405620867832425e-03,9.514190624767702e-03
7400,5.511283453045507e-05,2.328398233770237e-03,9.198430404972036e-03
7500,5.621094641757343e-05,2.246917005139996e-03,8.892977969013158e-03
7600,4.577751398027820e-05,2.178286199651559e-03,8.620505145902277e-03
7700,4.859734410318685e-05,2.102989448296389e-03,8.320506187641755e-03
7800,4.707137420080580e-05,2.027389866397686e-03,8.025623381040764e-03
7900,4.598923094839921e-05,1.950749875757187e-03,7.685185249690862e-03
8000,3.770920931565453e-05,1.885558975382923e-03,7.422315690969253e-03
8100,2.477827868049312e-05,1.841467861934400e-03,7.218649433411148e-03
8200,2.731782555854972e-05,1.791553339123354e-03,7.016292442411337e-03
8300,4.200931019965163e-05,1.712059480708980e-03,6.710204614642404e-03
8400,2.429407206742930e-05,1.664312901914978e-03,6.548599279794023e-03
8500,2.210241896047132e-05,1.619678507776580e-03,6.346073918601036e-03
8600,2.951273231381918e-05,1.558081056612929e-03,6.120561123043156e-03
8700,2.486652504130189e-05,1.504218468936438e-03,5.911385741390607e-03
8800,1.886828501216254e-05,1.462039229640630e-03,5.735670945535828e-03
8900,1.883056731843624e-05,1.418666281906763e-03,5.569454373374860e-03
9000,1.793672116335376e-05,1.376089160506000e-03,5.399965962263720e-03
9100,1.482949671674708e-05,1.339839155775542e-03,5.245711923938592e-03
9200,1.272254866136499e-05,1.307960993099408e-03,5.096475096260239e-03
9300,1.377991771341317e-05,1.272554838404524e-03,4.955977558448593e-03
9400,2.111009617125567e-05,1.216327570954086e-03,4.734106927366408e-03
9500,1.430597973642201e-05,1.176689971893106e-03,4.570518008809796e-03
9600,1.387691429057766e-05,1.136902300970895e-03,4.422409098266480e-03
9700,1.133892475411207e-05,1.103317099695373e-03,4.281105448529207e-03
9800,1.463830771973328e-05,1.058432522236478e-03,4.099903529239612e-03
9900,9.845190410594110e-06,1.027111513162785e-03,3.959757753981330e-03
10000,9.879081544199825e-06,9.947021067562242e-04,3.827359534397445e-03
10100,8.199874857769605e-06,9.669564977235438e-04,3.726181398396838e-03
10200,9.758955195953096e-06,9.328936422339810e-04,3.596245477245075e-03
10300,8.882740259293243e-06,9.007568946599866e-04,3.482063038400984e-03
10400,6.936973218807395e-06,8.748367667412408e-04,3.377846152755951e-03
10500,6.706795866317244e-06,8.490499336795541e-04,3.269634618992212e-03
